Date (GMT),Job Link,Origin URL,Enter the location where you will be receiving or have received medical care,Enter a Procedure Code or Keyword,CPT Code,CPT Description,Out of Network,In-Network
3/5/2026 12:04,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019cbdde-b4f7-7807-9379-565e2cb277b7,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
3/4/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019cb8b8-5942-7d9f-b506-f26f669fe0fb,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
3/3/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019cb391-fd8c-7cda-9cdf-e57e8b3c28b6,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
3/2/2026 12:04,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019cae6b-a17b-7be4-82da-b9082467d18c,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
3/1/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019ca945-43ee-78f3-86a9-16cb9b6c5dea,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
2/28/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019ca41e-e743-7df8-a99c-47c1851d03f0,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
2/27/2026 12:04,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019c9ef8-8cc2-70f9-b393-b6832b574743,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$450
2/26/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019c99d2-312a-7ba4-9587-9d38fd9fbc21,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$360
2/25/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019c94ab-d4f1-7cbc-88cb-d888abd8bc5f,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$360
2/24/2026 12:03,https://dashboard.browse.ai/workspaces/mohawkambulance/robots/96429135-77cf-468b-9023-328a5c8b951e/history/019c8f85-7968-7f2e-8eec-0fe2f2dbb85b,https://www.fairhealthconsumer.org/medical,12304,a0425,CPT Code A0425,"Transportation, by ground, mileage (15 miles)",$465 ,$360
