CODE,RESOLVED_DESCRIPTION,SOURCE,VARIANTS
1,Deductible Amount,CARC dictionary,Misdirected claims (x1) | Redirected claim (x1)
10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,Invalid policy/id number (x1) | Duplicate Claim appeal (x1) | Remaining portion of bill paid by healthcare insurance (x1) | INFORMATION REQUESTED FROM THE BILLING/RENDERING PROVIDER WAS NOT PROVIDED OR NOT PROVIDED TIMELY OR WAS INSUFFICIENT/INCOMPLETE. (x1)
11,The diagnosis is inconsistent with the procedure,CARC dictionary,No NPI on submitted claim (x1) | No Fault - Denied Driving under the Influence. (x1) | No Fault - Failure to appear for medical exam by an insurer is a breach of a condition precedent to coveage under the no fault policy. (x1)
13,The date of death precedes the date of service,CARC dictionary,Health Savings account payments (x2) | Incorrect Place of Sevice (x1) | his service/equipment/drug is not covered under the patients current benefit plan (x1)
14,The date of birth follows the date of service,CARC dictionary,Initial decision upheld (x1) | Incorrect carrier (x1) | INCORRECT PLACE OF SEVICE (x1) | Incorrect Place of Sevice (x1)
18,Exact duplicate claim/service,CARC dictionary,Cap. hospital responsibility (x1) | Primary payers benefit is equal or greater than plans benefits (x1) | PAYMENT REDUCED DUE TO OTHER INSURANCE PAYMENT. (x1) | This (these) diagnosis(es) is (are) not covered. (x1)
19,This is a work-related injury/illness,CARC dictionary,Denied to Logisticare (x1) | Disposition of Service Line is pending review (x1)
2,Coinsurance Amount,CARC dictionary,Recipient is Not Elig 4 Mcal (x1) | Member cannot be identified (x1)
21,This injury/illness is the liability of the no-fault carrier,CARC dictionary,EXTRN CAUSE OF INJURY DX CANNOT BE PRIMARY DX. (x1) | The procedure code is inconsistent with the provider type/specialty (taxonomy). (x1)
48,This service is not covered unless the injury is work-related,CARC dictionary,Payment denied/reduced for absence of precertification/authorization (x1) | These are non-covered services because this is a pre-existing condition (x1)
9,The diagnosis is inconsistent with the patient's age,CARC dictionary,EXPENSES INCURRED PRIOR TO COVERAGE. (x2) | DISCOVERED PT HAS MEDICARE-BILL MEDICARE DIRECTLY. (x1) | Expenses not approved by medicare are not covered (x1)
AO23,Co-payment Amount,CARC dictionary,"Other Ajustments - Impact of prior payers adjudication  including payments and /or adjustments (x1) | Not medically necessary, per medical director. (x1)"
CO-284,ESRD network approval not obtained,CARC dictionary,Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services. (x1) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x1) | Payment made to patient/insured/responsible party. (x1)
CO001,Deductible Amount,CARC dictionary,PAYMNT ADJUSTMNT TO PREV CLAIM (x1) | IM HAS BEEN FORWARDED TO THEM FO (x1)
CO0012,The diagnosis is inconsistent with the provider type,CARC dictionary,Info Missing/Incomplete (x1) | Hospital Inpatient Controversy (x1)
CO0014,The date of birth follows the date of service,CARC dictionary,INITIAL DECISION-UPHELD (x1) | Incorrect Place of Sevice (x1)
CO0015,"The authorization number is missing, invalid, or does not apply",CARC dictionary,Medicare Disallowed service (x1) | Lifetime benefit maximum has been reached. (x1)
CO0016,Claim/service lacks information or has submission error(s),CARC dictionary,MEDICARE IS PRIMARY (x1) | Major Medical Adjustment. (x1)
CO0017,Requested information was not provided or was insufficient/incomplete,CARC dictionary,BENEFITS WERE COORDINATED WITH YOUR PRIMARY HEALTH CARE PLAN. (x1) | BENEFITS WERE COORDINATED WITH YOUR PRIMARY HEALTH CARE PLAN (x1) | Benefits adjusted. Plan procedures not followed. (x1)
CO002,Coinsurance Amount,CARC dictionary,REOPENING CLERICAL ERROR. (x1) | Procedure denied due to related service not paid (x1)
CO0027,Expenses incurred after coverage terminated,CARC dictionary,Inclusive in Primary Procedure (x1) | Health Savings account payments (x1)
CO0028,Coverage terminated before service date,CARC dictionary,CLAIM REDUCTION (x1) | Claim not submitted within timely filing limitations (x1)
CO0029,The time limit for filing has expired,CARC dictionary,COORDINATION OF BENEFITS APPLIED ON THIS CLAIM (x1) | ATED WITH YOUR MEDICAL GROUP.CLA (x1)
CO003,Co-payment Amount,CARC dictionary,RECOVERY WRITE OFF (x1) | Primary payers benefit is equal or greater than plans benefits (x1) | Prior approval number invalid (x1)
CO0031,Patient cannot be identified as our insured,CARC dictionary,Services Are Not A Medicare Covered Benefit (x1) | RECOVERY WRITE OFF (x1)
CO0033,Insured has no dependent coverage,CARC dictionary,BILL MEDICARE HOSPICE SERVICE (x1) | Bill Medicaid directly. (x1)
CO0036,Balance does not exceed co-payment amount,CARC dictionary,CLAIM ADJUSTMENT (x1) | Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA). (x1)
CO0039,Services denied at the time authorization/pre-certification was requested,CARC dictionary,INVALID INFORMATION RECEIVED (x1) | INFORMATION REQUESTED FROM THE BILLING/RENDERING PROVIDER WAS NOT PROVIDED OR NOT PROVIDED TIMELY OR WAS INSUFFICIENT (x1)
CO0043,Inappropriate use of procedure code,CARC dictionary,SEQUESTRATION REDUCTION (x1) | PROMPT-PAY DISCOUNT. (x1)
CO0045,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,SUBMISSION/BILLING ERROR (x1) | Services Are Not A Medicare Covered Benefit (x1)
