CODE,RESOLVED_DESCRIPTION,SOURCE,VARIANTS,MAJOR_CATEGORY,MINOR_CATEGORY
1,Deductible Amount,CARC dictionary,Misdirected claims (x1) | Redirected claim (x1),Patient Responsibility,Patient Responsibility/Deductible
10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,Invalid policy/id number (x1) | Duplicate Claim appeal (x1) | Remaining portion of bill paid by healthcare insurance (x1) | INFORMATION REQUESTED FROM THE BILLING/RENDERING PROVIDER WAS NOT PROVIDED OR NOT PROVIDED TIMELY OR WAS INSUFFICIENT/INCOMPLETE. (x1),Provider Billing Error,Provider Billing Error/Diagnosis
11,The diagnosis is inconsistent with the procedure,CARC dictionary,No NPI on submitted claim (x1) | No Fault - Denied Driving under the Influence. (x1) | No Fault - Failure to appear for medical exam by an insurer is a breach of a condition precedent to coveage under the no fault policy. (x1),Provider Billing Error,Provider Billing Error/Diagnosis
13,The date of death precedes the date of service,CARC dictionary,Health Savings account payments (x2) | Incorrect Place of Sevice (x1) | his service/equipment/drug is not covered under the patients current benefit plan (x1),Provider Billing Error,Other/Unspecified
14,The date of birth follows the date of service,CARC dictionary,Initial decision upheld (x1) | Incorrect carrier (x1) | INCORRECT PLACE OF SEVICE (x1) | Incorrect Place of Sevice (x1),Provider Billing Error,Other/Unspecified
18,Exact duplicate claim/service,CARC dictionary,Cap. hospital responsibility (x1) | Primary payers benefit is equal or greater than plans benefits (x1) | PAYMENT REDUCED DUE TO OTHER INSURANCE PAYMENT. (x1) | This (these) diagnosis(es) is (are) not covered. (x1),Provider Billing Error,Provider Billing Error/Duplicate
19,This is a work-related injury/illness,CARC dictionary,Denied to Logisticare (x1) | Disposition of Service Line is pending review (x1),Other Insurance,Coverage/Workers Comp
2,Coinsurance Amount,CARC dictionary,Recipient is Not Elig 4 Mcal (x1) | Member cannot be identified (x1),Patient Responsibility,Patient Responsibility/Coinsurance
21,This injury/illness is the liability of the no-fault carrier,CARC dictionary,EXTRN CAUSE OF INJURY DX CANNOT BE PRIMARY DX. (x1) | The procedure code is inconsistent with the provider type/specialty (taxonomy). (x1),Other Insurance,COB/No Fault
48,This service is not covered unless the injury is work-related,CARC dictionary,Payment denied/reduced for absence of precertification/authorization (x1) | These are non-covered services because this is a pre-existing condition (x1),Coverage/Eligibility,Coverage/Workers Comp
9,The diagnosis is inconsistent with the patient's age,CARC dictionary,EXPENSES INCURRED PRIOR TO COVERAGE. (x2) | DISCOVERED PT HAS MEDICARE-BILL MEDICARE DIRECTLY. (x1) | Expenses not approved by medicare are not covered (x1),Provider Billing Error,Provider Billing Error/Diagnosis
AO23,Co-payment Amount,CARC dictionary,"Other Ajustments - Impact of prior payers adjudication  including payments and /or adjustments (x1) | Not medically necessary, per medical director. (x1)",Payer Specific,Other/Unspecified
CO-284,ESRD network approval not obtained,CARC dictionary,Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services. (x1) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x1) | Payment made to patient/insured/responsible party. (x1),Authorization/Precert,Other/Unspecified
CO001,Deductible Amount,CARC dictionary,PAYMNT ADJUSTMNT TO PREV CLAIM (x1) | IM HAS BEEN FORWARDED TO THEM FO (x1),Patient Responsibility,Patient Responsibility/Deductible
CO0012,The diagnosis is inconsistent with the provider type,CARC dictionary,Info Missing/Incomplete (x1) | Hospital Inpatient Controversy (x1),Provider Billing Error,Provider Billing Error/Diagnosis
CO0014,The date of birth follows the date of service,CARC dictionary,INITIAL DECISION-UPHELD (x1) | Incorrect Place of Sevice (x1),Provider Billing Error,Other/Unspecified
CO0015,"The authorization number is missing, invalid, or does not apply",CARC dictionary,Medicare Disallowed service (x1) | Lifetime benefit maximum has been reached. (x1),Authorization/Precert,Authorization/Precert
CO0016,Claim/service lacks information or has submission error(s),CARC dictionary,MEDICARE IS PRIMARY (x1) | Major Medical Adjustment. (x1),Provider Billing Error,Other/Unspecified
CO0017,Requested information was not provided or was insufficient/incomplete,CARC dictionary,BENEFITS WERE COORDINATED WITH YOUR PRIMARY HEALTH CARE PLAN. (x1) | BENEFITS WERE COORDINATED WITH YOUR PRIMARY HEALTH CARE PLAN (x1) | Benefits adjusted. Plan procedures not followed. (x1),Documentation/Attachments,Other/Unspecified
CO002,Coinsurance Amount,CARC dictionary,REOPENING CLERICAL ERROR. (x1) | Procedure denied due to related service not paid (x1),Patient Responsibility,Patient Responsibility/Coinsurance
CO0027,Expenses incurred after coverage terminated,CARC dictionary,Inclusive in Primary Procedure (x1) | Health Savings account payments (x1),Coverage/Eligibility,Other/Unspecified
CO0028,Coverage terminated before service date,CARC dictionary,CLAIM REDUCTION (x1) | Claim not submitted within timely filing limitations (x1),Coverage/Eligibility,Other/Unspecified
CO0029,The time limit for filing has expired,CARC dictionary,COORDINATION OF BENEFITS APPLIED ON THIS CLAIM (x1) | ATED WITH YOUR MEDICAL GROUP.CLA (x1),Appeals/Timely Filing,Other/Unspecified
CO003,Co-payment Amount,CARC dictionary,RECOVERY WRITE OFF (x1) | Primary payers benefit is equal or greater than plans benefits (x1) | Prior approval number invalid (x1),Patient Responsibility,Other/Unspecified
CO0031,Patient cannot be identified as our insured,CARC dictionary,Services Are Not A Medicare Covered Benefit (x1) | RECOVERY WRITE OFF (x1),Coverage/Eligibility,Other/Unspecified
CO0033,Insured has no dependent coverage,CARC dictionary,BILL MEDICARE HOSPICE SERVICE (x1) | Bill Medicaid directly. (x1),Coverage/Eligibility,Other/Unspecified
CO0036,Balance does not exceed co-payment amount,CARC dictionary,CLAIM ADJUSTMENT (x1) | Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA). (x1),Patient Responsibility,Other/Unspecified
CO0039,Services denied at the time authorization/pre-certification was requested,CARC dictionary,INVALID INFORMATION RECEIVED (x1) | INFORMATION REQUESTED FROM THE BILLING/RENDERING PROVIDER WAS NOT PROVIDED OR NOT PROVIDED TIMELY OR WAS INSUFFICIENT (x1),Authorization/Precert,Authorization/Precert
CO0043,Inappropriate use of procedure code,CARC dictionary,SEQUESTRATION REDUCTION (x1) | PROMPT-PAY DISCOUNT. (x1),Provider Billing Error,Provider Billing Error/Coding
CO0045,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,SUBMISSION/BILLING ERROR (x1) | Services Are Not A Medicare Covered Benefit (x1),Contractual/Payment,Other/Unspecified
CO0049,This is a non-covered service,CARC dictionary,Medicare allowable (x1) | The diagnosis is inconsistent with the patient's age. (x1),Coverage/Eligibility,Other/Unspecified
CO005,The procedure code/bill type is inconsistent with the place of service,CARC dictionary,SERVICE DOWNCODED TO MATCH AUTHORIZED CODE (x1) | PROVIDER CONTRACTED/NEGOTIATED RATE EXPIRED OR NOT ON FILE. (x1),Provider Billing Error,Provider Billing Error/Coding
CO0050,These are non-covered services,CARC dictionary,"SERVICE IS INCLUDED IN THE PER DIEM,CARE RATE,OR GLOBAL FEE (x1) | Provider is not contracted for your plan.  The services were not precertified, therefore no payment will be made. (x1)",Coverage/Eligibility,Other/Unspecified
CO0052,Medicare program rules prevent payment for this service,CARC dictionary,RECEIVED /IN PROCESS (x1) | Primary diagnosis missing for procedure. (x1),Coverage/Eligibility,Other/Unspecified
CO0055,Procedure/treatment is deemed experimental/investigational,CARC dictionary,DENY SERVICE IS UNBUNDLED (x1) | Denied-No patient responsibility. (x1),Coverage/Eligibility,Medical Necessity/Review
CO0056,"Procedure/treatment has not been deemed ""proven to be effective""",CARC dictionary,THE ALLOWED AMT IS INTENDED TO BE PAYMENT IN FULL FOR COVRD SRVICE/ NEGOTIATED AGREEMENT ON FILE (x1) | JUDICATION. (x1),Coverage/Eligibility,Other/Unspecified
CO0058,Treatment was deemed by the payer to have been rendered in an inappropriate setting,CARC dictionary,"MILEAGE QUANTITY DOES NOT MATCH AMBULANCE NOTES (x1) | Medical records have not been received or are insufficient to determine decision of payment. Please submit the ambulance trip notes, ER report, H&P notes, progress notes, and discharge summary within 30 days. (x1)",Coverage/Eligibility,Other/Unspecified
CO0061,Penalty for failure to obtain second surgical opinion,CARC dictionary,Other (x1) | Charged exceed our fee schedule or maximum allowable amount. (x1),Coverage/Eligibility,Other/Unspecified
CO0062,Payment for obsolete/outdated equipment/materials,CARC dictionary,PAID PER APPROVED RETRO AUTH (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1),Contractual/Payment,Other/Unspecified
CO007,The procedure/revenue code is inconsistent with the patient's gender,CARC dictionary,OUT OF NETWORK. (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1),Provider Billing Error,Other/Unspecified
CO008,The procedure code is inconsistent with the provider type/specialty,CARC dictionary,MISSING/INCOMPLETE/INVALID DAYS OR UNITS OF SERVICE. (x1) | PAID MEDICAID FEE SCHEDULE (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1),Provider Billing Error,Provider Billing Error/Coding
CO01,Deductible Amount,CARC dictionary,IPA responsibility (x1) | INGREDIENT COST ADJUSTMENT. (x1),Patient Responsibility,Patient Responsibility/Deductible
CO011,The diagnosis is inconsistent with the procedure,CARC dictionary,Applied to deductible (x1) | APPLIED TO DEDUCTIBLE (x1),Provider Billing Error,Provider Billing Error/Diagnosis
CO012,The diagnosis is inconsistent with the provider type,CARC dictionary,Applied to co-pay (x1) | APPLIED TO CO-PAY (x1),Provider Billing Error,Provider Billing Error/Diagnosis
CO013,The date of death precedes the date of service,CARC dictionary,Refund request (x1) | Prior authorization is required but was not obtained. (x1),Provider Billing Error,Other/Unspecified
CO014,The date of birth follows the date of service,CARC dictionary,DOS after coverage terminated (x1) | Discount agreed to in Preferred Provider contract. (x1),Provider Billing Error,Other/Unspecified
CO015,"The authorization number is missing, invalid, or does not apply",CARC dictionary,Duplicate Claim (x1) | DOS after coverage terminated (x1),Authorization/Precert,Authorization/Precert
CO016,Claim/service lacks information or has submission error(s),CARC dictionary,DRG (x1) | Dispensing fee adjustment. (x1),Provider Billing Error,Other/Unspecified
CO017,Requested information was not provided or was insufficient/incomplete,CARC dictionary,Non-Covered service (x1) | Non standard adjustment code from paper remittance advice. (x1),Documentation/Attachments,Other/Unspecified
CO02,Coinsurance Amount,CARC dictionary,CANNOT ID MEMBER (x1) | Bill w/point of pickup zip code in box 23 (x1),Patient Responsibility,Patient Responsibility/Coinsurance
CO021,This injury/illness is the liability of the no-fault carrier,CARC dictionary,MAXIMUM ALLOWABLE MET (x1) | IPA responsibility (x1),Other Insurance,COB/No Fault
CO022,This care may be covered by another payer,CARC dictionary,PRIMARY EOB NEEDED (x1) | URANCE PAYMENT. (x1),Other Insurance,Other/Unspecified
CO024,Charges are covered under a capitation agreement/managed care plan,CARC dictionary,"REQUIRES ORIGINAL CLAIMS WITH AL_x000D_
L RELEVANT DOCUMENTATION. (x1) | Procedure is not paid separately (x1)",Contractual/Payment,Other/Unspecified
CO025,Payment denied. Patient has not met the required eligibility requirements,CARC dictionary,"THE COMBINATION OF PROCEDURE COD_x000D_
E AND MODIFIER IS NOT VALID ON T_x000D_
HE DATES OF SERVICE BILLED. (x1) | Services not covered because the patient is enrolled in a Hospice. (x1)",Coverage/Eligibility,Coverage/Eligibility
CO028,Coverage terminated before service date,CARC dictionary,"SERVICES BILLED EXCEED THE OCCUR_x000D_
RENCES REMAINING ON THE APPROVED_x000D_
TAR/SAR. (x1) | REOPENING CLERICAL ERROR. (x1)",Coverage/Eligibility,Other/Unspecified
CO03,Co-payment Amount,CARC dictionary,Untimely Filing (x1) | These are non-covered services because this is a pre-existing condition (x1),Patient Responsibility,Other/Unspecified
CO030,This payment is being made conditionally,CARC dictionary,"PAYMENT REDUCED BECAUSE OF PATIE_x000D_
NT LIABILITY. (x1) | NSIBILITY OF THE HOSPITAL AFFILI (x1)",Contractual/Payment,Other/Unspecified
CO031,Patient cannot be identified as our insured,CARC dictionary,"FOR NON-PHYSICIAN CLAIMS,SEE CHA_x000D_
RPENTIER BILLING INSTRUCTION IN _x000D_
THE PROVIDER MANUAL. (x1) | Failure to obtain prior authorization prior to rendering services. (x1)",Coverage/Eligibility,Other/Unspecified
CO034,Insured has no coverage for newborns,CARC dictionary,"THIS PROCEDURE IS NOT PAYABLE ON_x000D_
THIS DATE OF SERVICE. (x1) | The referring provider is not eligible to refer the service billed. (x1)",Coverage/Eligibility,Other/Unspecified
CO038,Services not provided or not provided as frequently as billed,CARC dictionary,"PAYMENT FOR SERVICE IS THE RESPO_x000D_
NSIBILITY OF THE HOSPITAL AFFILI_x000D_
ATED WITH YOUR MEDICAL GROUP.CLA_x000D_
IM HAS BEEN FORWARDED TO THEM FO_x000D_
R REVIEW. (x1) | Payment denied/reduced for absence of precertification/authorization (x1)",Provider Billing Error,Other/Unspecified
CO039,Services denied at the time authorization/pre-certification was requested,CARC dictionary,"SERVICES ARE THE FINANCIAL RESPO_x000D_
NSIBILITY OF LOGISTICARE.CLAIM H_x000D_
AS BEEN FORWARDED TO THEM FOR AD_x000D_
JUDICATION. (x1) | REFUND REQUEST (x1)",Authorization/Precert,Authorization/Precert
CO043,Inappropriate use of procedure code,CARC dictionary,"UPHOLD-THE CLAIM HAS BEEN FORWAR_x000D_
DED TO THE RESPONSIBLE PARTY FOR_x000D_
PMT. (x1) | THESE ARE NON-COVERED SERVICES BECAUSE THIS IS A ROUTINE EXAM OR SCREENING PROCEDURE DONE IN CONJUNCTION WITH A ROUTINE EXAM. (x1)",Provider Billing Error,Provider Billing Error/Coding
CO045,Charges exceed your contracted/legislated fee arrangement,CARC dictionary,"UPHOLD-CONTRACTED/LOA RATE WAS P_x000D_
AID.NO ADDITIONAL AMOUNT DUE. (x1) | These are non-covered services because this is a routine exam or screening procedure done in conjunction with a routine exam. (x1)",Contractual/Payment,Other/Unspecified
CO046,This service/procedure requires a referral,CARC dictionary,THE MEMBER HAS ELECTED MEDICARE HOSPICE BENEFITS. (x1) | Submit transportation service claim to the proper vendor. (x1),Authorization/Precert,Other/Unspecified
CO049,This is a non-covered service,CARC dictionary,LATE BILLING * CUTBACK. (x1) | Initial decision upheld (x1),Coverage/Eligibility,Other/Unspecified
CO05,The procedure code/bill type is inconsistent with the place of service,CARC dictionary,No authorization on file (x1) | No authorization (x1) | Missing/incomplete/invalid patient name (x1),Provider Billing Error,Provider Billing Error/Coding
CO052,Medicare program rules prevent payment for this service,CARC dictionary,SERVICE INCLUDED IN OTHER SVCS. (x1) | Provider discount. (x1),Coverage/Eligibility,Other/Unspecified
CO06,The procedure/revenue code is inconsistent with the patient's age,CARC dictionary,Invalid HCPC codes (x1) | Information requested from the billing/provider was not provided or was insifficient/incomplete (x1),Provider Billing Error,Other/Unspecified
CO07,The procedure/revenue code is inconsistent with the patient's gender,CARC dictionary,"Invalid DX codes (x1) | THE DIAGNOSIS CODE SUBMITTED IS _x000D_
NOT BILLED TO THE HIGHEST LEVEL _x000D_
OF SPECIFICITY. (x1) | Info Missing/Incomplete (x1) | SERVICES NOT DOCUMENTED IN PATIENTS' MEDICAL RECORDS. (x1)",Provider Billing Error,Other/Unspecified
CO08,The procedure code is inconsistent with the provider type/specialty,CARC dictionary,Not medically necessary (x1) | NON STANDARD ADJUSTMENT CODE FROM PAPER REMITTANCE ADVICE. (x1),Provider Billing Error,Provider Billing Error/Coding
CO09,The diagnosis is inconsistent with the patient's age,CARC dictionary,Health plan responsibility (x1) | RPENTIER BILLING INSTRUCTION IN (x1),Provider Billing Error,Provider Billing Error/Diagnosis
CO1,Deductible Amount,CARC dictionary,Deductible Amount (x2) | Decision based on review of previusly adjudicated claims or for claims in process for the same/similar type of services. (x1),Patient Responsibility,Patient Responsibility/Deductible
CO10,The diagnosis is inconsistent with the patient's gender,CARC dictionary,The diagnosis is inconsistent with the patient's gender. (x2) | SERVICES NOT PROVIDED BY NETWORK/PRIMARY CARE PROVIDERS (x2),Provider Billing Error,Provider Billing Error/Diagnosis
CO102,Major Medical Adjustment,CARC dictionary,Major Medical Adjustment. (x2) | INVALID POLICY/ID NUMBER (x1),Major Medical,Other/Unspecified
CO107,Payment adjusted for failure to obtain treatment authorization,CARC dictionary,Claim/service adjusted because the related or qualifying claim/service was not identified on this claim. (x2) | Claim/Service adjusted because the attachment referenced on the claim was not received. (x1),Authorization/Precert,Authorization/Precert
CO109,Claim/service not covered by this payer/contractor,CARC dictionary,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor. (x2) | Claim information is inconsistent with pre-certified/authorized services. (x1),Coverage/Eligibility,Coverage/Benefit Exclusion
CO11,The diagnosis is inconsistent with the procedure,CARC dictionary,The diagnosis is inconsistent with the procedure. (x2) | Services not provided or authorized by designated (network/primary care) providers. (x1),Provider Billing Error,Provider Billing Error/Diagnosis
CO112,Service not furnished directly to the patient,CARC dictionary,Payment adjusted as not furnished directly to the patient and/or not documented. (x2) | Patient is not a Veteran as defined in 38 USC 1720G(a)(2). 38 UCS 111(e)(2)(D). (x1),Coverage/Eligibility,Other/Unspecified
CO117,Transportation is only covered to the nearest appropriate facility that can provide the required level of care,CARC dictionary,Payment adjusted because transportation is only covered to the closest facility that can provide the necessary care. (x2) | Payment adjusted because this care may be covered by another payer per coordination of benefits. (x1),Coverage/Eligibility,Other/Unspecified
CO118,Transportation is only covered for trips under prescribed mileage limit,CARC dictionary,Charges reduced for ESRD network support. (x2) | Charges not approved by Medicare are not covered under the policy. (x1),Coverage/Eligibility,Other/Unspecified
CO119,Benefit maximum has been reached,CARC dictionary,Benefit maximum for this time period or occurrence has been reached. (x2) | BASED ON THE FINDINGS OF A REVIEW ORGANIZATION (x1),Benefit Limits,Benefit Limits
CO12,The diagnosis is inconsistent with the provider type,CARC dictionary,"The diagnosis is inconsistent with the provider type. (x2) | Services were rendered after the cancellation date of your contract, therefore, no benefits are payable (x1)",Provider Billing Error,Provider Billing Error/Diagnosis
CO125,Submission/billing error(s),CARC dictionary,Payment adjusted due to a submission/billing error(s). Additional information is supplied using the remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided. (x2) | Payment adjusted because this procedure code and modifier were invalid on the date of service (x1),Provider Billing Error,Other/Unspecified
