CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
005B,The claim/service has been transferred to the proper payer/processor for processing. Claim/service not covered by this payer/processor.,Payer Specific,Other/Unspecified
1,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
10,The diagnosis is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Diagnosis
11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
13,The date of death precedes the date of service,Provider Billing Error,Provider Billing Error/Other
131,PRIMARY EOB NEEDED,Program/Demo Adjustment,Program/Demo
139,The benefit for this service is not covered out of network.,Contractual/Payment,Contractual/Payment/Other
14,The date of birth follows the date of service,Provider Billing Error,Provider Billing Error/Other
18,Exact duplicate claim/service,Provider Billing Error,Provider Billing Error/Duplicate
19,This is a work-related injury/illness,Other Insurance,Coverage/Workers Comp
195,CLAIM ADJUSTMENT,Refund/Recovery,Refund/Recovery
2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
20,Denied as patient in Hospice,Coverage/Eligibility,Coverage/Hospice
2003,Medical information not sufficient or received,Payer Specific,Other/Unspecified
21,This injury/illness is the liability of the no-fault carrier,Other Insurance,COB/No Fault
218,PENDING FISCAL INTERMEDIARY REVI,Pending/Processing,Pending/Review
22H,Failure to provide requested NF2 information,Payer Specific,Other/Unspecified
23004,16 - Claim/service lacks information or has submission/billing error(s) which is needed for adjudication. N56 - Procedure code billed is not correct/valid for the service billed or the date of service billed.,Provider Billing Error,Provider Billing Error/Coding
23005,These services were submitted after this payers responsibility for processing claims under this plan ended.,Payer Specific,Other/Unspecified
236,Original payment decision is being maintained. This claim was processed properly the first time.,Provider Billing Error,Provider Billing Error/Modifier
2541,MAJOR MEDICAL ADJUSTMENT.,Payer Specific,Other/Unspecified
29,This injury/illness is the liability of the no-fault carrier.,Other Insurance,COB/No Fault
2S,Previously paid. Payment for this claim/service may have been provided in a previous payment.,Provider Billing Error,Provider Billing Error/Duplicate
33002,Services denied at the time authorization/pre-certification was requested.,Authorization/Precert,Authorization/Precert
3Y,Patient ineligible for this service.,Coverage/Eligibility,Coverage/Eligibility
406,PAYMENT REDUCED DO 2 OTHER INS,Payer Specific,Other/Unspecified
407,"Provider is not contracted for your plan. The services were not preceritifed, therefore no payment will be made.",Payer Specific,Other/Unspecified
42,CANNOT ID MEMBER,Provider Billing Error,Provider Billing Error/Coding
44,Duplicate claim/service.,Provider Billing Error,Provider Billing Error/Duplicate
48,This service is not covered unless the injury is work-related,Other Insurance,Coverage/Workers Comp
50,PAYMENT REDUCED DUE TO OTHER INSURANCE PAYMENT.,COB/Other Payer,COB/Other Payer
501,Processed in Excess of charges.,Payer Specific,Other/Unspecified
51,After member termination date,Bundled/Inclusive,Bundled/Inclusive
